start_index,end_index,time_start,time_end,time_peak,duration_hr,peak_swh_m,mean_swh_m,year,month,origin,hurdat_name,hurdat_status,hurdat_wind_kt,hurdat_dt_hr,hurdat_dist_km
404,419,2000-01-17 20:00:00,2000-01-18 10:00:00,2000-01-18 03:00:00,15,8.206402778625488,7.869649410247803,2000,1,ET,,,,,
486,526,2000-01-21 06:00:00,2000-01-22 21:00:00,2000-01-21 19:00:00,40,10.060958862304688,8.722551345825195,2000,1,ET,,,,,
10344,10363,2001-03-07 00:00:00,2001-03-07 18:00:00,2001-03-07 08:00:00,19,7.940516471862793,7.761806488037109,2001,3,ET,,,,,
17858,17873,2002-01-14 02:00:00,2002-01-14 16:00:00,2002-01-14 09:00:00,15,9.501545906066895,8.717724800109863,2002,1,ET,,,,,
26168,26195,2002-12-26 08:00:00,2002-12-27 10:00:00,2002-12-26 19:00:00,27,9.996570587158203,8.887036323547363,2002,12,ET,,,,,
32530,32563,2003-09-17 10:00:00,2003-09-18 18:00:00,2003-09-18 08:00:00,33,8.799466133117676,8.30887508392334,2003,9,TC,Isabel,HU,90.0,-2.0,326.18078145108234
34683,34703,2003-12-16 03:00:00,2003-12-16 22:00:00,2003-12-16 14:00:00,20,9.597843170166016,8.777008056640625,2003,12,ET,,,,,
35433,35458,2004-01-16 09:00:00,2004-01-17 09:00:00,2004-01-16 19:00:00,25,9.13475227355957,8.526945114135742,2004,1,ET,,,,,
35745,35768,2004-01-29 09:00:00,2004-01-30 07:00:00,2004-01-30 04:00:00,23,7.970126152038574,7.562884330749512,2004,1,ET,,,,,
36247,36277,2004-02-19 07:00:00,2004-02-20 12:00:00,2004-02-19 21:00:00,30,10.918925285339355,9.146771430969238,2004,2,ET,,,,,
43736,43749,2004-12-27 08:00:00,2004-12-27 20:00:00,2004-12-27 16:00:00,13,8.672466278076172,8.245594024658203,2004,12,ET,,,,,
44399,44411,2005-01-23 23:00:00,2005-01-24 10:00:00,2005-01-24 02:00:00,12,8.337006568908691,7.96665620803833,2005,1,ET,,,,,
45458,45473,2005-03-09 02:00:00,2005-03-09 16:00:00,2005-03-09 08:00:00,15,8.094634056091309,7.8610968589782715,2005,3,ET,,,,,
50981,51001,2005-10-25 05:00:00,2005-10-26 00:00:00,2005-10-25 14:00:00,20,8.632887840270996,8.308425903320312,2005,10,TC,Wilma,HU,90.0,-2.0,707.2592899081914
52976,52996,2006-01-16 08:00:00,2006-01-17 03:00:00,2006-01-17 00:00:00,20,7.860957145690918,7.59104061126709,2006,1,ET,,,,,
53363,53375,2006-02-01 11:00:00,2006-02-01 22:00:00,2006-02-01 16:00:00,12,8.057726860046387,7.9238715171813965,2006,2,ET,,,,,
58710,58725,2006-09-12 06:00:00,2006-09-12 20:00:00,2006-09-12 13:00:00,15,8.282841682434082,8.003961563110352,2006,9,TC,Florence,HU,65.0,-1.0,1243.0682709207374
61988,62008,2007-01-26 20:00:00,2007-01-27 15:00:00,2007-01-27 09:00:00,20,9.05902099609375,8.469057083129883,2007,1,ET,,,,,
62563,62577,2007-02-19 19:00:00,2007-02-20 08:00:00,2007-02-20 01:00:00,14,8.946523666381836,8.373833656311035,2007,2,ET,,,,,
