criterion,storm_id,storm_name,year,window_start,window_end,n_qualifying_points,min_dist_km,peak_wind_kt_overall,wind_kt_at_closest,status_at_closest,month_at_closest,window_hr,category_at_closest,category_overall
near_hatteras,AL052019,Dorian,2019,2019-09-05 12:00:00,2019-09-07 00:00:00,8,8.446319472266879,160.0,85.0,HU,9,84.0,Cat2,Cat5
near_hatteras,AL091985,Gloria,1985,1985-09-26 18:00:00,1985-09-27 12:00:00,5,8.446319472266879,125.0,90.0,HU,9,66.0,Cat2,Cat4
near_hatteras,AL032015,Claudette,2015,2015-07-12 00:00:00,2015-07-13 06:00:00,6,20.427776306988275,45.0,25.0,LO,7,78.0,TD,TS
near_hatteras,AL022016,Bonnie,2016,2016-05-29 12:00:00,2016-06-04 00:00:00,22,20.440394230581,40.0,25.0,TD,6,180.0,TD,TS
near_hatteras,AL011996,Arthur,1996,1996-06-19 06:00:00,1996-06-20 18:00:00,7,30.19429454535481,45.0,35.0,TS,6,84.0,TS,TS
near_hatteras,AL082002,Gustav,2002,2002-09-09 12:00:00,2002-09-11 06:00:00,8,30.208523226296755,85.0,55.0,TS,9,90.0,TS,Cat2
near_hatteras,AL012004,Alex,2004,2004-08-02 18:00:00,2004-08-04 06:00:00,7,30.468447655741905,105.0,85.0,HU,8,84.0,Cat2,Cat3
near_hatteras,AL122002,Kyle,2002,2002-10-11 17:00:00,2002-10-12 12:00:00,6,37.48277829594427,75.0,40.0,TS,10,67.0,TS,Cat1
near_hatteras,AL051993,Emily,1993,1993-08-30 18:00:00,1993-09-01 12:00:00,9,39.45252067832686,100.0,100.0,HU,8,90.0,Cat3,Cat3
near_hatteras,AL032008,Cristobal,2008,2008-07-19 06:00:00,2008-07-22 00:00:00,12,40.67661083581024,55.0,45.0,TS,7,114.0,TS,TS
near_hatteras,AL101981,Dennis,1981,1981-08-20 00:00:00,1981-08-20 18:00:00,4,40.84074351475026,70.0,60.0,TS,8,66.0,TS,Cat1
near_hatteras,AL022012,Beryl,2012,2012-05-25 18:00:00,2012-05-31 06:00:00,10,42.42668918340801,60.0,45.0,LO,5,180.0,TS,TS
near_hatteras,AL012014,Arthur,2014,2014-06-28 18:00:00,2014-07-04 18:00:00,10,43.0265763879029,85.0,85.0,HU,7,192.0,Cat2,Cat2
near_hatteras,AL021982,Unnamed,1982,1982-06-19 00:00:00,1982-06-19 18:00:00,4,43.0265763879029,60.0,60.0,SS,6,66.0,TS,TS
near_hatteras,AL022007,Barry,2007,2007-06-03 12:00:00,2007-06-04 12:00:00,5,43.0265763879029,50.0,40.0,EX,6,72.0,TS,TS
near_hatteras,AL012002,Arthur,2002,2002-07-14 18:00:00,2002-07-15 12:00:00,4,47.98035124100047,50.0,30.0,TD,7,66.0,TD,TS
near_hatteras,AL112016,Julia,2016,2016-09-15 12:00:00,2016-09-21 06:00:00,19,50.98898201402281,45.0,25.0,EX,9,186.0,TD,TS
near_hatteras,AL011995,Allison,1995,1995-06-06 12:00:00,1995-06-07 06:00:00,4,51.367275197495964,65.0,40.0,EX,6,66.0,TS,Cat1
near_hatteras,AL101984,Diana,1984,1984-09-11 06:00:00,1984-09-15 06:00:00,18,57.69094581612626,115.0,50.0,TS,9,144.0,TS,Cat4
near_hatteras,AL131999,Irene,1999,1999-10-17 18:00:00,1999-10-18 12:00:00,5,58.36707439098644,95.0,95.0,HU,10,66.0,Cat2,Cat2
near_hatteras,AL062020,Fay,2020,2020-07-08 12:00:00,2020-07-10 20:00:00,11,59.538993826308925,50.0,40.0,TS,7,104.0,TS,TS
near_hatteras,AL092016,Hermine,2016,2016-09-03 00:00:00,2016-09-04 06:00:00,6,61.217524392046485,70.0,60.0,EX,9,78.0,TS,Cat1
near_hatteras,AL162005,Ophelia,2005,2005-09-10 12:00:00,2005-09-17 00:00:00,27,61.488958623412934,75.0,65.0,HU,9,204.0,Cat1,Cat1
near_hatteras,AL051986,Charley,1986,1986-08-15 12:00:00,1986-08-18 18:00:00,15,63.03076451989523,70.0,65.0,HU,8,126.0,Cat1,Cat1
near_hatteras,AL021998,Bonnie,1998,1998-08-26 06:00:00,1998-08-28 18:00:00,12,69.72355235611812,100.0,65.0,HU,8,108.0,Cat1,Cat3
near_hatteras,AL072007,Gabrielle,2007,2007-09-08 12:00:00,2007-09-10 18:00:00,11,70.16302284679925,50.0,45.0,TS,9,102.0,TS,TS
near_hatteras,AL132003,Isabel,2003,2003-09-18 00:00:00,2003-09-19 06:00:00,7,72.3332789831944,145.0,90.0,HU,9,78.0,Cat2,Cat5
near_hatteras,AL142016,Matthew,2016,2016-10-08 15:00:00,2016-10-10 00:00:00,7,74.65932803341072,145.0,70.0,HU,10,81.0,Cat1,Cat5
near_hatteras,AL092011,Irene,2011,2011-08-26 18:00:00,2011-08-28 09:35:00,8,75.14379172439361,105.0,65.0,HU,8,87.58333333333334,Cat1,Cat3
near_hatteras,AL031991,Bob,1991,1991-08-18 12:00:00,1991-08-19 12:00:00,5,75.25701732601757,100.0,95.0,HU,8,72.0,Cat2,Cat3
