model,lr,base_channels,depth,params,val_mae,val_loss,best_epoch,minutes
unet3d,0.0003,32,3,5920353,0.0738632823229453,4.4376999793557083e-05,6,10.1
unet3d,0.001,32,3,5920353,0.07158272018982322,3.517559168772144e-05,6,10.3
unet3d,0.003,32,3,5920353,0.11279236274586672,9.091593274170488e-05,5,10.1
cnn3d,0.0003,32,3,3913857,0.09472266820454601,7.543615703759006e-05,5,8.5
cnn3d,0.001,32,3,3913857,0.12975257318940292,0.00011511341009965143,4,8.6
cnn3d,0.003,32,3,3913857,0.09239117973889183,6.510625403487359e-05,6,8.4
convlstm,0.0003,32,3,756545,0.0953672563760289,5.882700006412734e-05,6,6.1
convlstm,0.001,32,3,756545,0.05511961883179264,2.4891861937199314e-05,5,6.1
convlstm,0.003,32,3,756545,0.048436379824257865,2.733374346004416e-05,5,6.0
unet3d,0.001,16,3,1482545,0.08120843887329696,4.468591771021716e-05,6,4.0
unet3d,0.001,48,3,13313425,0.06132919396664318,3.131170804646616e-05,4,19.4
cnn3d,0.003,16,3,980801,0.09375862494659983,6.841469558306108e-05,6,2.6
cnn3d,0.003,48,3,8799169,0.09453723904162681,7.58767509487546e-05,5,15.8
convlstm,0.003,16,3,193953,0.05387815991308031,2.718829083468051e-05,6,4.7
convlstm,0.003,48,3,1687777,0.039258638817749915,1.4448407084658684e-05,6,9.9
