lead,sea_state,n,era5_minus_buoy,model_minus_era5,model_minus_buoy,inherited_share
1,1-3 (0-1.25 m),19059,0.04940512001611383,0.004074678595090214,0.05347979861120405,0.923809013853755
1,4   (1.25-2.5 m),13973,-0.061392245329860484,0.0003898635944930756,-0.061002381735367414,1.0063909569331952
1,5   (2.5-4 m),2612,-0.2116248594966088,-0.010174354860647532,-0.22179921435725633,0.9541280843120594
1,6+  (>4 m),559,-0.4548412967709181,-0.01719515417470915,-0.4720364509456273,0.9635724017917213
6,1-3 (0-1.25 m),19035,0.056510859350911394,0.002717040469397827,0.05922789982030922,0.9541256658155866
6,4   (1.25-2.5 m),13937,-0.052758828687849174,0.00255168515400607,-0.050207143533843104,1.0508231493449942
6,5   (2.5-4 m),2644,-0.1919982293505171,-0.027369091554957693,-0.2193673209054748,0.8752362410135326
6,6+  (>4 m),566,-0.40134526861851294,-0.036194017413648194,-0.4375392860321611,0.9172782454762526
24,1-3 (0-1.25 m),19013,0.047229452085778396,0.1224054081937299,0.16963486027950828,0.2784183157162282
24,4   (1.25-2.5 m),13986,-0.06454315266588052,-0.04680291529498216,-0.1113460679608627,0.5796626126803773
24,5   (2.5-4 m),2606,-0.21300814574074037,-0.352007355034946,-0.5650155007756864,0.3769952248182754
24,6+  (>4 m),544,-0.4529040674076361,-0.8381608027745696,-1.2910648701822058,0.35079884664797556
48,1-3 (0-1.25 m),19013,0.047229452085778396,0.24515738557403646,0.2923868376598148,0.16153070522527677
48,4   (1.25-2.5 m),13972,-0.06439200431117006,-0.1587512932020308,-0.22314329751320086,0.2885679517546823
48,5   (2.5-4 m),2604,-0.2127637656566368,-0.9574634656882323,-1.1702272313448692,0.1818140613700475
48,6+  (>4 m),544,-0.4529040674076361,-2.129966965493034,-2.5828710329006697,0.17534908310888692
