n,MAE,RMSE,bias,MAPE,R2,R,station,name,setting
25511,0.19687235809737905,0.28489102116666026,-0.0361218860103496,11.10345234690482,0.9111553503121853,0.9557062787912107,41001,E of Cape Hatteras,offshore
37089,0.18266808517514888,0.2641156438046969,0.011849199376708851,11.388224375528878,0.9143539874287149,0.9573875045236397,41002,S Hatteras,offshore
39127,0.16803036541888453,0.22418683029377234,0.07571650250121893,14.381275590335651,0.8900591281220038,0.9506637361431282,41004,"Edisto, SC",shelf
43523,0.16149251081020854,0.2193541816552497,0.0707202553649385,12.95095792612031,0.8840704203197685,0.9512503087776557,41013,"Frying Pan Shoals, NC",shelf
27926,0.20873116414282986,0.30227414975576966,0.013431601457290868,13.692481708932702,0.8407211798330679,0.9178827635909284,41025,"Diamond Shoals, NC",shelf
23395,0.17538608496615612,0.2570127889236128,-0.013070947035532467,9.811334844079791,0.9302171576071121,0.9655845015270985,41048,W Bermuda,offshore
38558,0.1874245710517059,0.2657897992692517,-0.022070602667647665,11.628387893347103,0.9338407054009825,0.9675130857934019,44008,Nantucket SE,offshore
39334,0.18846432160993556,0.2655209085081488,0.09708423184631448,16.414404931911626,0.8136602775718575,0.9244194159581927,44009,Delaware Bay,shelf
36791,0.16442867983923706,0.2296697402115912,-0.038866746440112246,11.811954369116922,0.9127093622652956,0.9577101070202005,44014,"Virginia Beach, VA",shelf
40931,0.18623962879100817,0.26620218877834834,0.07902097462289906,20.028888750935458,0.7819743245994113,0.8979075743253383,44056,"Duck FRF 17m, NC",nearshore
43515,0.35947310135922844,0.48745147259384125,-0.34181023824269724,24.415456640575766,0.5105401444961355,0.9112252902543758,44095,"Oregon Inlet, NC",shelf
38962,0.16887133266541401,0.22417890514417307,-0.04660398515806349,15.09442795404018,0.875398945530985,0.9391063601787777,44100,"Duck FRF 26m, NC",nearshore
