model,stratum,mae,rmse,bias,mape,r2,n,skill_vs_persistence,checkpoint,model_meta,lr,base,params,epochs_to_best
cnn3d_swh_full_lb48_h1,all,0.0299463565704613,0.0492214481654948,0.0001584847012817,1.7603566265180413,0.9979707831182616,8088826,0.5893662744186839,cnn3d_swh_full_lb48_h1,3D CNN,0.001,32,3913857,24
cnn3d_swh_full_lb48_h1,P0-50,0.0221266027431158,0.0326694764059354,-0.0060794870687924,2.0620918921868943,0.9898683007201006,4044413,-0.0118125478564186,cnn3d_swh_full_lb48_h1,3D CNN,0.001,32,3913857,24
cnn3d_swh_full_lb48_h1,P50-90,0.0327330778523563,0.0507373879805173,0.0052013372270582,1.5156189627070766,0.9877276574292454,3235530,0.5610377548235604,cnn3d_swh_full_lb48_h1,3D CNN,0.001,32,3913857,24
cnn3d_swh_full_lb48_h1,P90-99,0.0537253085430296,0.0838825817651391,0.0113034973036875,1.3307558808716404,0.981698013009093,727993,0.7122096805871274,cnn3d_swh_full_lb48_h1,3D CNN,0.001,32,3913857,24
cnn3d_swh_full_lb48_h1,P99+,0.0954536274758946,0.1503732526886664,0.0100378558019401,1.4038058269431728,0.9783872860334067,80890,0.7263672994259653,cnn3d_swh_full_lb48_h1,3D CNN,0.001,32,3913857,24
convlstm_swh_full_lb48_h1,all,0.0241356566754267,0.0382517179686625,-0.00065565320529,1.48237936034878,0.998774476671902,8088826,0.7520022350053069,convlstm_swh_full_lb48_h1,ConvLSTM,0.001,32,461377,25
convlstm_swh_full_lb48_h1,P0-50,0.0199517662151249,0.0264439652799729,0.0026399772198628,1.8648333791919505,0.993361788286096,4044413,0.3370681665227892,convlstm_swh_full_lb48_h1,ConvLSTM,0.001,32,461377,25
convlstm_swh_full_lb48_h1,P50-90,0.0247843230893254,0.0391610611700674,-0.0021449011261564,1.1648253742557877,0.992688943132648,3235530,0.7384950492942554,convlstm_swh_full_lb48_h1,ConvLSTM,0.001,32,461377,25
convlstm_swh_full_lb48_h1,P90-99,0.0398667235684286,0.0664732471873507,-0.0097183028175001,0.9763521951781248,0.9885066018041808,727993,0.8192715896958636,convlstm_swh_full_lb48_h1,ConvLSTM,0.001,32,461377,25
convlstm_swh_full_lb48_h1,P99+,0.0658032885881684,0.1012092209455087,-0.0243030599322244,0.9777746146783448,0.9902094231267304,80890,0.8760441727564159,convlstm_swh_full_lb48_h1,ConvLSTM,0.001,32,461377,25
unet3d_swh_full_lb48_h1,all,0.0201643592395522,0.0367804239928653,0.0047939081725748,1.162790040332602,0.9988669393554356,8088826,0.7707130644023749,unet3d_swh_full_lb48_h1,3D U-Net,0.001,32,5920353,35
unet3d_swh_full_lb48_h1,P0-50,0.0145671337298006,0.0235130575860027,0.0011464601112537,1.3366255118436638,0.9947517301411252,4044413,0.4758761159691944,unet3d_swh_full_lb48_h1,3D U-Net,0.001,32,5920353,35
unet3d_swh_full_lb48_h1,P50-90,0.0218914498449333,0.0379146150019656,0.0073527326245171,1.012373076073734,0.9931469396007968,3235530,0.7548768800926102,unet3d_swh_full_lb48_h1,3D U-Net,0.001,32,5920353,35
unet3d_swh_full_lb48_h1,P90-99,0.0387495522056348,0.0661872897091625,0.0136915235021227,0.9589016415664752,0.9886052746999426,727993,0.8208231685065822,unet3d_swh_full_lb48_h1,3D U-Net,0.001,32,5920353,35
unet3d_swh_full_lb48_h1,P99+,0.0636746542844891,0.1034846716765093,0.0047349565152052,0.9416160167054998,0.9897642382123564,80890,0.8704078037268075,unet3d_swh_full_lb48_h1,3D U-Net,0.001,32,5920353,35
unet3d_swh_paper_swh_lb48_h1,all,0.0387060475443822,0.0573851840330267,0.0094860021166442,2.4123398428537843,0.9972418413075984,8088826,0.4418571080398313,unet3d_swh_paper_swh_lb48_h1,3D U-Net (paper inputs),0.001,32,5920353,28
unet3d_swh_paper_swh_lb48_h1,P0-50,0.0321732262966036,0.0426644457792423,0.0156345859613986,3.065511885029949,0.9827205402623812,4044413,-0.7256309983999485,unet3d_swh_paper_swh_lb48_h1,3D U-Net (paper inputs),0.001,32,5920353,28
unet3d_swh_paper_swh_lb48_h1,P50-90,0.0401239792707435,0.0595693219921996,0.0049489868467098,1.876520546280093,0.9830832639598764,3235530,0.3949151892338656,unet3d_swh_paper_swh_lb48_h1,3D U-Net (paper inputs),0.001,32,5920353,28
unet3d_swh_paper_swh_lb48_h1,P90-99,0.061243301592906,0.0903524026292948,-0.0015869951791427,1.5176787859351968,0.9787658893548252,727993,0.6661033634701305,unet3d_swh_paper_swh_lb48_h1,3D U-Net (paper inputs),0.001,32,5920353,28
unet3d_swh_paper_swh_lb48_h1,P99+,0.1057934916790195,0.1512635901711949,-0.0168052439784543,1.5640171716348923,0.9781305970903812,80890,0.7231174371012421,unet3d_swh_paper_swh_lb48_h1,3D U-Net (paper inputs),0.001,32,5920353,28
